image_id class_id super_class_id path
0 1 1 images/001.Black_footed_Albatross/Black_Footed_Albatross_0046_18.jpg
1 1 1 images/001.Black_footed_Albatross/Black_Footed_Albatross_0009_34.jpg
2 1 1 images/001.Black_footed_Albatross/Black_Footed_Albatross_0002_55.jpg
3 1 1 images/001.Black_footed_Albatross/Black_Footed_Albatross_0074_59.jpg
4 1 1 images/001.Black_footed_Albatross/Black_Footed_Albatross_0014_89.jpg
5 1 1 images/001.Black_footed_Albatross/Black_Footed_Albatross_0085_92.jpg
6 1 1 images/001.Black_footed_Albatross/Black_Footed_Albatross_0031_100.jpg
7 1 1 images/001.Black_footed_Albatross/Black_Footed_Albatross_0051_796103.jpg
8 1 1 images/001.Black_footed_Albatross/Black_Footed_Albatross_0010_796097.jpg
9 1 1 images/001.Black_footed_Albatross/Black_Footed_Albatross_0025_796057.jpg
10 1 1 images/001.Black_footed_Albatross/Black_Footed_Albatross_0023_796059.jpg
11 1 1 images/001.Black_footed_Albatross/Black_Footed_Albatross_0086_796062.jpg
12 1 1 images/001.Black_footed_Albatross/Black_Footed_Albatross_0049_796063.jpg
13 1 1 images/001.Black_footed_Albatross/Black_Footed_Albatross_0006_796065.jpg
14 1 1 images/001.Black_footed_Albatross/Black_Footed_Albatross_0040_796066.jpg
15 1 1 images/001.Black_footed_Albatross/Black_Footed_Albatross_0016_796067.jpg
16 1 1 images/001.Black_footed_Albatross/Black_Footed_Albatross_0065_796068.jpg
17 1 1 images/001.Black_footed_Albatross/Black_Footed_Albatross_0089_796069.jpg
18 1 1 images/001.Black_footed_Albatross/Black_Footed_Albatross_0042_796071.jpg
19 1 1 images/001.Black_footed_Albatross/Black_Footed_Albatross_0067_170.jpg
20 1 1 images/001.Black_footed_Albatross/Black_Footed_Albatross_0060_796076.jpg
21 1 1 images/001.Black_footed_Albatross/Black_Footed_Albatross_0090_796077.jpg
22 1 1 images/001.Black_footed_Albatross/Black_Footed_Albatross_0056_796078.jpg
23 1 1 images/001.Black_footed_Albatross/Black_Footed_Albatross_0061_796082.jpg
24 1 1 images/001.Black_footed_Albatross/Black_Footed_Albatross_0008_796083.jpg
25 1 1 images/001.Black_footed_Albatross/Black_Footed_Albatross_0033_796086.jpg
26 1 1 images/001.Black_footed_Albatross/Black_Footed_Albatross_0024_796089.jpg
27 1 1 images/001.Black_footed_Albatross/Black_Footed_Albatross_0005_796090.jpg
28 1 1 images/001.Black_footed_Albatross/Black_Footed_Albatross_0026_796095.jpg
29 1 1 images/001.Black_footed_Albatross/Black_Footed_Albatross_0080_796096.jpg
30 1 1 images/001.Black_footed_Albatross/Black_Footed_Albatross_0047_796064.jpg
