image_id class_id super_class_id path
25882 3997 1 img/WOMEN/Blouses_Shirts/id_00000001/02_1_front.jpg
25884 3997 1 img/WOMEN/Blouses_Shirts/id_00000001/02_3_back.jpg
25886 3998 1 img/WOMEN/Tees_Tanks/id_00000007/01_1_front.jpg
25888 3998 1 img/WOMEN/Tees_Tanks/id_00000007/01_3_back.jpg
25891 3999 1 img/WOMEN/Dresses/id_00000008/02_3_back.jpg
25893 4000 1 img/WOMEN/Dresses/id_00000011/02_1_front.jpg
25896 4001 1 img/WOMEN/Tees_Tanks/id_00000012/02_1_front.jpg
25897 4001 1 img/WOMEN/Tees_Tanks/id_00000012/02_2_side.jpg
25901 4002 1 img/WOMEN/Blouses_Shirts/id_00000015/02_2_side.jpg
25903 4002 1 img/WOMEN/Blouses_Shirts/id_00000015/02_4_full.jpg
25905 4003 1 img/MEN/Sweaters/id_00000016/01_1_front.jpg
25907 4003 1 img/MEN/Sweaters/id_00000016/01_3_back.jpg
25910 4004 1 img/WOMEN/Tees_Tanks/id_00000017/01_1_front.jpg
25911 4004 1 img/WOMEN/Tees_Tanks/id_00000017/01_2_side.jpg
25914 4004 1 img/WOMEN/Tees_Tanks/id_00000017/02_1_front.jpg
25916 4004 1 img/WOMEN/Tees_Tanks/id_00000017/02_3_back.jpg
25918 4005 1 img/WOMEN/Graphic_Tees/id_00000019/01_1_front.jpg
25920 4005 1 img/WOMEN/Graphic_Tees/id_00000019/01_4_full.jpg
25922 4006 1 img/WOMEN/Dresses/id_00000021/04_1_front.jpg
25925 4006 1 img/WOMEN/Dresses/id_00000021/04_7_additional.jpg
25926 4006 1 img/WOMEN/Dresses/id_00000021/05_1_front.jpg
25927 4006 1 img/WOMEN/Dresses/id_00000021/05_2_side.jpg
25930 4006 1 img/WOMEN/Dresses/id_00000021/06_2_side.jpg
25933 4007 1 img/WOMEN/Tees_Tanks/id_00000026/05_2_side.jpg
25935 4007 1 img/WOMEN/Tees_Tanks/id_00000026/05_7_additional.jpg
25937 4007 1 img/WOMEN/Tees_Tanks/id_00000026/06_2_side.jpg
25938 4007 1 img/WOMEN/Tees_Tanks/id_00000026/06_4_full.jpg
25939 4007 1 img/WOMEN/Tees_Tanks/id_00000026/06_7_additional.jpg
25941 4007 1 img/WOMEN/Tees_Tanks/id_00000026/07_3_back.jpg
25944 4007 1 img/WOMEN/Tees_Tanks/id_00000026/09_1_front.jpg
25945 4007 1 img/WOMEN/Tees_Tanks/id_00000026/09_2_side.jpg
25949 4008 1 img/WOMEN/Dresses/id_00000027/01_2_side.jpg
25950 4008 1 img/WOMEN/Dresses/id_00000027/01_3_back.jpg
25951 4008 1 img/WOMEN/Dresses/id_00000027/01_4_full.jpg
25952 4008 1 img/WOMEN/Dresses/id_00000027/01_7_additional.jpg
25954 4008 1 img/WOMEN/Dresses/id_00000027/02_2_side.jpg
25958 4009 1 img/WOMEN/Blouses_Shirts/id_00000028/01_1_front.jpg
25959 4009 1 img/WOMEN/Blouses_Shirts/id_00000028/01_2_side.jpg
25962 4010 1 img/WOMEN/Pants/id_00000029/04_1_front.jpg
25963 4010 1 img/WOMEN/Pants/id_00000029/04_2_side.jpg
25965 4010 1 img/WOMEN/Pants/id_00000029/04_7_additional.jpg
25968 4010 1 img/WOMEN/Pants/id_00000029/06_3_back.jpg
25972 4011 1 img/WOMEN/Blouses_Shirts/id_00000031/02_3_back.jpg
25973 4011 1 img/WOMEN/Blouses_Shirts/id_00000031/02_4_full.jpg
25975 4012 1 img/WOMEN/Dresses/id_00000034/02_1_front.jpg
25976 4012 1 img/WOMEN/Dresses/id_00000034/02_2_side.jpg
25980 4013 1 img/WOMEN/Dresses/id_00000035/03_2_side.jpg
25983 4013 1 img/WOMEN/Dresses/id_00000035/04_1_front.jpg
25985 4013 1 img/WOMEN/Dresses/id_00000035/04_7_additional.jpg
25986 4013 1 img/WOMEN/Dresses/id_00000035/05_1_front.jpg
25987 4013 1 img/WOMEN/Dresses/id_00000035/05_2_side.jpg
25990 4014 1 img/WOMEN/Cardigans/id_00000036/02_1_front.jpg
25991 4014 1 img/WOMEN/Cardigans/id_00000036/02_2_side.jpg
25994 4015 1 img/WOMEN/Blouses_Shirts/id_00000040/03_1_front.jpg
25996 4015 1 img/WOMEN/Blouses_Shirts/id_00000040/03_4_full.jpg
25998 4016 1 img/WOMEN/Dresses/id_00000042/02_1_front.jpg
25999 4016 1 img/WOMEN/Dresses/id_00000042/02_2_side.jpg
26003 4017 1 img/MEN/Tees_Tanks/id_00000045/01_1_front.jpg
26006 4017 1 img/MEN/Tees_Tanks/id_00000045/01_4_full.jpg
26008 4018 1 img/WOMEN/Graphic_Tees/id_00000046/01_1_front.jpg
26010 4018 1 img/WOMEN/Graphic_Tees/id_00000046/01_3_back.jpg
26012 4019 1 img/MEN/Sweaters/id_00000049/01_1_front.jpg
26014 4019 1 img/MEN/Sweaters/id_00000049/01_3_back.jpg
26017 4020 1 img/WOMEN/Rompers_Jumpsuits/id_00000050/02_1_front.jpg
26020 4020 1 img/WOMEN/Rompers_Jumpsuits/id_00000050/02_7_additional.jpg
26022 4020 1 img/WOMEN/Rompers_Jumpsuits/id_00000050/03_3_back.jpg
26024 4021 1 img/WOMEN/Pants/id_00000052/03_1_front.jpg
26025 4021 1 img/WOMEN/Pants/id_00000052/03_2_side.jpg
26028 4022 1 img/WOMEN/Jackets_Coats/id_00000054/01_1_front.jpg
26030 4022 1 img/WOMEN/Jackets_Coats/id_00000054/01_3_back.jpg
26033 4023 1 img/WOMEN/Denim/id_00000055/04_2_side.jpg
26034 4023 1 img/WOMEN/Denim/id_00000055/04_3_back.jpg
26036 4024 1 img/WOMEN/Jackets_Coats/id_00000058/02_1_front.jpg
26037 4024 1 img/WOMEN/Jackets_Coats/id_00000058/02_2_side.jpg
26040 4025 1 img/MEN/Pants/id_00000063/02_1_front.jpg
26041 4025 1 img/MEN/Pants/id_00000063/02_3_back.jpg
26044 4026 1 img/WOMEN/Pants/id_00000065/02_1_front.jpg
26045 4026 1 img/WOMEN/Pants/id_00000065/02_2_side.jpg
26047 4026 1 img/WOMEN/Blouses_Shirts/id_00000065/02_1_front.jpg
26050 4027 1 img/WOMEN/Blouses_Shirts/id_00000072/01_1_front.jpg
26052 4027 1 img/WOMEN/Blouses_Shirts/id_00000072/01_3_back.jpg
26055 4028 1 img/WOMEN/Dresses/id_00000073/02_2_side.jpg
26056 4028 1 img/WOMEN/Dresses/id_00000073/02_3_back.jpg
26058 4029 1 img/WOMEN/Dresses/id_00000074/03_1_front.jpg
26059 4029 1 img/WOMEN/Dresses/id_00000074/03_3_back.jpg
26060 4029 1 img/WOMEN/Dresses/id_00000074/03_7_additional.jpg
26064 4030 1 img/WOMEN/Rompers_Jumpsuits/id_00000076/01_1_front.jpg
26068 4031 1 img/WOMEN/Rompers_Jumpsuits/id_00000077/02_2_side.jpg
26070 4032 1 img/WOMEN/Tees_Tanks/id_00000079/04_1_front.jpg
26071 4032 1 img/WOMEN/Tees_Tanks/id_00000079/04_2_side.jpg
26073 4032 1 img/WOMEN/Tees_Tanks/id_00000079/04_4_full.jpg
26074 4032 1 img/WOMEN/Tees_Tanks/id_00000079/04_7_additional.jpg
26075 4032 1 img/WOMEN/Tees_Tanks/id_00000079/05_1_front.jpg
26078 4032 1 img/WOMEN/Tees_Tanks/id_00000079/05_4_full.jpg
26080 4032 1 img/WOMEN/Tees_Tanks/id_00000079/08_2_side.jpg
26082 4032 1 img/WOMEN/Tees_Tanks/id_00000079/08_4_full.jpg
26084 4032 1 img/WOMEN/Tees_Tanks/id_00000079/09_2_side.jpg
26088 4033 1 img/WOMEN/Dresses/id_00000083/02_1_front.jpg
26091 4034 1 img/MEN/Jackets_Vests/id_00000084/04_1_front.jpg
26096 4034 1 img/MEN/Jackets_Vests/id_00000084/05_2_side.jpg
26097 4034 1 img/MEN/Jackets_Vests/id_00000084/05_3_back.jpg
26098 4034 1 img/MEN/Jackets_Vests/id_00000084/05_7_additional.jpg
26099 4034 1 img/MEN/Jackets_Vests/id_00000084/07_1_front.jpg
26100 4034 1 img/MEN/Jackets_Vests/id_00000084/07_2_side.jpg
26102 4034 1 img/MEN/Jackets_Vests/id_00000084/07_7_additional.jpg
26104 4034 1 img/MEN/Jackets_Vests/id_00000084/08_2_side.jpg
26108 4035 1 img/WOMEN/Dresses/id_00000087/02_1_front.jpg
26110 4035 1 img/WOMEN/Dresses/id_00000087/02_3_back.jpg
26112 4036 1 img/WOMEN/Dresses/id_00000088/02_1_front.jpg
26114 4036 1 img/WOMEN/Dresses/id_00000088/02_3_back.jpg
26117 4037 1 img/WOMEN/Dresses/id_00000092/01_1_front.jpg
26120 4038 1 img/WOMEN/Blouses_Shirts/id_00000093/01_1_front.jpg
26121 4038 1 img/WOMEN/Blouses_Shirts/id_00000093/01_2_side.jpg
26125 4039 1 img/MEN/Jackets_Vests/id_00000094/01_2_side.jpg
26129 4039 1 img/MEN/Jackets_Vests/id_00000094/02_2_side.jpg
26130 4039 1 img/MEN/Jackets_Vests/id_00000094/02_3_back.jpg
26133 4039 1 img/MEN/Jackets_Vests/id_00000094/04_2_side.jpg
26134 4039 1 img/MEN/Jackets_Vests/id_00000094/04_3_back.jpg
26135 4039 1 img/MEN/Jackets_Vests/id_00000094/04_7_additional.jpg
26137 4040 1 img/WOMEN/Dresses/id_00000096/02_1_front.jpg
26139 4040 1 img/WOMEN/Dresses/id_00000096/02_4_full.jpg
26143 4041 1 img/WOMEN/Sweaters/id_00000098/02_3_back.jpg
26144 4041 1 img/WOMEN/Sweaters/id_00000098/02_4_full.jpg
26147 4042 1 img/WOMEN/Tees_Tanks/id_00000099/05_2_side.jpg
26149 4042 1 img/WOMEN/Tees_Tanks/id_00000099/05_7_additional.jpg
26150 4042 1 img/WOMEN/Tees_Tanks/id_00000099/06_1_front.jpg
26151 4042 1 img/WOMEN/Tees_Tanks/id_00000099/06_2_side.jpg
26152 4042 1 img/WOMEN/Tees_Tanks/id_00000099/06_3_back.jpg
26153 4042 1 img/WOMEN/Tees_Tanks/id_00000099/06_7_additional.jpg
